2459853.500000000, A.D. 2022-Oct-01 00:00:00.0000, -1.501701334988598E+04, -1.290844171318261E+04,  1.151240813613782E+04,  1.092347058740648E+00, -2.882919943618155E+00,  7.132837327571429E-02,  7.640540982894571E-02,  2.290576561711699E+04,  9.443637640656641E-01,
2459853.506944444, A.D. 2022-Oct-01 00:10:00.0000, -1.427510261271169E+04, -1.456025290389938E+04,  1.148737152547913E+04,  1.374612489597090E+00, -2.618552514293461E+00, -1.503369935724437E-01,  7.806677129588703E-02,  2.340382925491782E+04,  7.168517350990868E-01,
2459853.513888889, A.D. 2022-Oct-01 00:20:00.0000, -1.337309143685860E+04, -1.604907280132485E+04,  1.133346303735534E+04,  1.626684350728990E+00, -2.339721830007127E+00, -3.584316465018689E-01,  7.927743520602767E-02,  2.376677716435078E+04,  4.937268324281369E-01,
2459853.520833333, A.D. 2022-Oct-01 00:30:00.0000, -1.232789863949547E+04, -1.736626988847107E+04,  1.105817458477500E+04,  1.852357719313241E+00, -2.046467090751754E+00, -5.550799640927078E-01,  8.004479425671326E-02,  2.399682562032435E+04,  2.736049576107221E-01,
2459853.527777778, A.D. 2022-Oct-01 00:40:00.0000, -1.115450783083194E+04, -1.850299140928432E+04,  1.066785786195291E+04,  2.054325391670838E+00, -1.738035269199033E+00, -7.419746460366050E-01,  8.037350790645595E-02,  2.409537149335886E+04,  5.513851180208882E-02,
2459853.534722222, A.D. 2022-Oct-01 00:50:00.0000, -9.866572684012581E+03, -1.944972525277355E+04,  1.016796063617598E+04,  2.234348369581695E+00, -1.412989025137876E+00, -9.204468759654008E-01,  8.026556450718289E-02,  2.406301087636592E+04, -1.629962222278005E-01,
2459853.541666667, A.D. 2022-Oct-01 01:00:00.0000, -8.476947919420723E+03, -2.019589985618862E+04,  9.563230366084186E+03,  2.393335443923621E+00, -1.069229615784499E+00, -1.091505581735898E+00,  7.972031086541342E-02,  2.389954794686639E+04, -3.821178966438973E-01,
2459853.548611111, A.D. 2022-Oct-01 01:10:00.0000, -6.998197602008085E+03, -2.072947696025076E+04,  8.857903407998378E+03,  2.531339262362271E+00, -7.039516283853822E-01, -1.255845939862243E+00,  7.873444228691673E-02,  2.360399198245390E+04, -6.035599967668003E-01,
2459853.555555556, A.D. 2022-Oct-01 01:20:00.0000, -5.443132346344513E+03, -2.103649793553716E+04,  8.055899474957235E+03,  2.647461314305625E+00, -3.135331184369092E-01, -1.413822013297887E+00,  7.730195526608002E-02,  2.317454317742417E+04, -8.286873827221706E-01,
2459853.562500000, A.D. 2022-Oct-01 01:30:00.0000, -3.825436793012034E+03, -2.110054345843412E+04,  7.161046283016845E+03,  2.739639867932122E+00,  1.066452518810100E-01, -1.565370443124689E+00,  7.541407544859742E-02,  2.260857104653247E+04, -1.058902929616834E+00,
2459853.569444444, A.D. 2022-Oct-01 01:40:00.0000, -2.160471980303118E+03, -2.090205983758534E+04,  6.177370852428146E+03,  2.804267059385588E+00,  5.624671156606454E-01, -1.709858519524724E+00,  7.305919188833478E-02,  2.190259471569755E+04, -1.295631511423264E+00,
2459853.576388889, A.D. 2022-Oct-01 01:50:00.0000, -4.663825206250059E+02, -2.041749404802391E+04,  5.109516703944531E+03,  2.835533361384740E+00,  1.061455338774446E+00, -1.845804643446064E+00,  7.022286659973710E-02,  2.105228578574129E+04, -1.540254167456603E+00,
2459853.583333333, A.D. 2022-Oct-01 02:00:00.0000,  1.234276485360817E+03, -1.961816573412414E+04,  3.963390675662788E+03,  2.824308266336224E+00,  1.613276958442631E+00, -1.970368937954117E+00,  6.688807115418964E-02,  2.005253926219341E+04, -1.793932372911379E+00,
2459853.590277778, A.D. 2022-Oct-01 02:10:00.0000,  2.912016496868367E+03, -1.846879722157694E+04,  2.747232003546791E+03,  2.756190419941356E+00,  2.230372456112879E+00, -2.078406511759820E+00,  6.303598873005596E-02,  1.889771400384378E+04, -2.057184775192319E+00,
2459853.597222222, A.D. 2022-Oct-01 02:20:00.0000,  4.526305454350909E+03, -1.692565572674124E+04,  1.473480951622949E+03,  2.608001697022551E+00,  2.928576852399405E+00, -2.160644141632965E+00,  5.864815792151767E-02,  1.758227542046395E+04, -2.328887375128925E+00,
2459853.604166667, A.D. 2022-Oct-01 02:30:00.0000,  6.018546788527772E+03, -1.493445466990826E+04,  1.622252551171068E+02,  2.341250507457586E+00,  3.727124673010481E+00, -2.200007242629405E+00,  5.371181171173488E-02,  1.610239605669419E+04, -2.603869967174112E+00,
2459853.611111111, A.D. 2022-Oct-01 02:40:00.0000,  7.299532325617383E+03, -1.242893573936242E+04, -1.152088593632420E+03,  1.889563809253171E+00,  4.645707242542884E+00, -2.163857536961848E+00,  4.823305950409527E-02,  1.445990746559298E+04, -2.866913857267658E+00,
2459853.618055556, A.D. 2022-Oct-01 02:50:00.0000,  8.226234459749989E+03, -9.333951406828088E+03, -2.406890842547632E+03,  1.134587275378909E+00,  5.689915356931940E+00, -1.986994185254521E+00,  4.227017946345866E-02,  1.267228100145139E+04, -3.077073053785759E+00,
2459853.625000000, A.D. 2022-Oct-01 03:00:00.0000,  8.559321716980556E+03, -5.587589699171525E+03, -3.482387792298991E+03, -1.337843226903106E-01,  6.793181702006819E+00, -1.535533023782128E+00,  3.602031565774343E-02,  1.079861896897079E+04, -3.125889875513856E+00,
2459853.631944444, A.D. 2022-Oct-01 03:10:00.0000,  7.900305288809641E+03, -1.234020283947187E+03, -4.144271738493990E+03, -2.224680346024988E+00,  7.612913693983939E+00, -5.545010656912917E-01,  3.004163093440900E-02,  9.006254380155309E+03, -2.739445243827643E+00,
